Player,Nation,Team,Position,Age,Matches Played,Starts,Minutes,Goals,Assists,Yellow Cards,Red Cards,xG,xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,xG/90,xAG/90,GA90,Save%,CS%,PK Save%
1,86,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
2,170,0,1.9,0.0,0.0,0.0,0.0,0.0,0.2,8.0,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.12,,,0.0,0.0,0.0,0.0
15,470,0,16.3,3.0,0.0,0.0,0.0,0.0,1.6,57.0,7.0,0.0,0.18,0.18,0.09,0.05,0.15,0.09,,,0.0,0.0,0.0,0.0
13,227,1,13.6,1.0,1.0,0.0,0.0,0.0,0.9,37.0,1.0,0.07,0.15,0.15,0.07,0.02,0.08,0.07,,,0.0,0.0,0.0,0.0
8,824,2,9.2,1.0,2.0,0.0,0.0,0.0,2.2,14.0,104.0,0.22,0.33,0.33,0.23,0.19,0.43,0.23,,,0.0,0.0,0.0,0.0
10,870,0,9.7,0.0,0.0,0.0,0.0,0.0,0.3,19.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,,,0.0,0.0,0.0,0.0
0,6,0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.29,0.5,0.79,0.29,,,0.0,0.0,0.0,0.0
30,569,2,28.5,1.0,2.0,0.0,0.0,0.0,0.6,91.0,52.0,0.07,0.11,0.11,0.02,0.03,0.05,0.02,,,0.0,0.0,0.0,0.0
31,618,4,29.1,6.0,4.0,0.0,0.0,1.0,2.3,96.0,148.0,0.14,0.34,0.34,0.08,0.15,0.23,0.08,,,0.0,0.0,0.0,0.0
17,363,0,15.1,0.0,0.0,0.0,0.0,0.0,0.8,51.0,41.0,0.0,0.0,0.0,0.05,0.08,0.13,0.05,,,0.0,0.0,0.0,0.0
20,707,0,19.0,0.0,0.0,0.0,0.0,0.0,0.7,135.0,6.0,0.0,0.0,0.0,0.04,0.02,0.06,0.04,,,0.0,0.0,0.0,0.0
8,678,0,7.5,0.0,0.0,0.0,0.0,0.0,0.2,50.0,2.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,,,0.0,0.0,0.0,0.0
0,10,0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,6.0,1.0,0.0,0.0,0.0,0.62,0.86,1.48,0.62,,,0.0,0.0,0.0,0.0
4,434,1,4.8,1.0,1.0,0.0,0.0,0.0,1.3,24.0,8.0,0.21,0.41,0.41,0.27,0.23,0.5,0.27,,,0.0,0.0,0.0,0.0
26,145,2,23.8,6.0,2.0,0.0,0.0,0.0,1.6,204.0,87.0,0.08,0.34,0.34,0.07,0.28,0.35,0.07,,,0.0,0.0,0.0,0.0
22,968,0,21.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,,,0.0,0.0,0.0,0.0
1,157,0,1.7,0.0,0.0,0.0,0.0,0.0,0.5,6.0,18.0,0.0,0.0,0.0,0.3,0.15,0.45,0.3,,,0.0,0.0,0.0,0.0
19,633,0,18.1,1.0,0.0,0.0,0.0,1.0,0.3,75.0,18.0,0.0,0.06,0.06,0.02,0.04,0.06,0.02,,,0.0,0.0,0.0,0.0
0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
1,76,0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,,,0.0,0.0,0.0,0.0
0,28,0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.07,0.22,0.29,0.07,,,0.0,0.0,0.0,0.0
0,8,0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
1,90,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,,,0.0,0.0,0.0,0.0
23,043,0,22.7,0.0,0.0,0.0,0.0,1.0,0.5,98.0,1.0,0.0,0.0,0.0,0.02,0.01,0.04,0.02,,,0.0,0.0,0.0,0.0
27,227,1,24.7,6.0,1.0,0.0,0.0,0.0,1.6,112.0,77.0,0.04,0.28,0.28,0.07,0.12,0.19,0.07,,,0.0,0.0,0.0,0.0
Starts,Min,Gls,90s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
