Player,Rk,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive_2,PassDead_2,TO_2,Sh_2,Fld_2,Def_2,Matches
Aaron Cresswell,112,engENG,DF,West Ham,35-130,1989,6.5,12,1.83,5,7,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Aaron Ramsdale,418,engENG,GK,Southampton,26-345,1998,25.0,3,0.12,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Aaron Wan-Bissaka,536,engENG,DF,West Ham,27-149,1997,30.0,75,2.50,61,4,6,2,0,2,5,0.17,4,0,0,1,0,0,Matches
Abdoulaye Doucouré,145,mlMLI,MF,Everton,32-113,1993,25.9,53,2.04,47,0,3,2,0,1,2,0.08,1,0,0,0,0,1,Matches
Abdukodir Khusanov,278,uzUZB,DF,Manchester City,21-054,2004,5.6,5,0.89,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Abdul Fatawu Issahaku,174,ghGHA,FW,Leicester City,21-047,2004,6.4,17,2.64,10,0,2,1,4,0,3,0.47,2,0,0,1,0,0,Matches
Adam Armstrong,33,engENG,"FW,MF",Southampton,28-073,1997,13.9,19,1.37,12,1,2,4,0,0,4,0.29,1,0,0,3,0,0,Matches
Adam Lallana,292,engENG,MF,Southampton,36-349,1988,4.0,9,2.24,8,0,0,0,1,0,2,0.50,2,0,0,0,0,0,Matches
Adam Smith,472,engENG,DF,Bournemouth,33-360,1991,14.7,17,1.16,13,1,1,0,1,1,1,0.07,0,0,0,0,1,0,Matches
Adam Webster,542,engENG,DF,Brighton,30-110,1995,6.9,10,1.46,8,2,0,0,0,0,3,0.44,2,1,0,0,0,0,Matches
Adam Wharton,546,engENG,MF,Crystal Palace,20-326,2004,14.0,56,4.01,44,10,0,1,0,1,6,0.43,4,2,0,0,0,0,Matches
Adama Traoré,512,esESP,"FW,MF",Fulham,29-089,1996,16.9,67,3.96,54,0,7,4,0,2,8,0.47,7,0,1,0,0,0,Matches
Albert Grønbaek,212,dkDEN,"FW,MF",Southampton,23-336,2001,1.6,2,1.26,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Alejandro Garnacho,193,arARG,"MF,FW",Manchester Utd,20-297,2004,21.8,69,3.16,52,1,3,7,6,0,4,0.18,2,0,0,1,1,0,Matches
Alex Iwobi,249,ngNGA,"FW,MF",Fulham,28-356,1996,29.3,111,3.79,95,0,8,6,2,0,15,0.51,12,0,2,1,0,0,Matches
Alex McCarthy,336,engENG,GK,Southampton,35-142,1989,5.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Alex Palmer,399,engENG,GK,Ipswich Town,28-257,1996,9.0,2,0.22,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Alex Scott,457,engENG,MF,Bournemouth,21-246,2003,6.8,25,3.67,18,0,0,2,2,3,2,0.29,2,0,0,0,0,0,Matches
Alexander Isak,248,seSWE,FW,Newcastle Utd,25-215,1999,26.8,83,3.10,63,1,8,7,2,2,14,0.52,11,0,1,0,1,1,Matches
Alexis Mac Allister,312,arARG,MF,Liverpool,26-121,1998,27.5,115,4.19,81,21,2,6,2,3,14,0.51,10,2,0,2,0,0,Matches
Alfie Dorrington,144,engENG,DF,Tottenham,20-004,2005,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Alfie Pond,413,engENG,DF,Wolves,21-054,2004,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Ali Al Hamadi,223,iqIRQ,FW,Ipswich Town,23-054,2002,1.5,8,5.37,4,0,3,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Alisson,16,brBRA,GK,Liverpool,32-204,1992,22.9,6,0.26,6,0,0,0,0,0,1,0.04,1,0,0,0,0,0,Matches
Alphonse Areola,31,frFRA,GK,West Ham,32-056,1993,21.1,3,0.14,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Altay Bayındır,48,trTUR,GK,Manchester Utd,27-010,1998,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Amad Diallo,130,ciCIV,"FW,MF",Manchester Utd,22-287,2002,17.7,80,4.52,54,9,7,2,4,4,16,0.90,7,0,3,1,1,4,Matches
Amadou Onana,390,beBEL,MF,Aston Villa,23-251,2001,15.0,25,1.67,19,2,0,4,0,0,4,0.27,2,1,0,1,0,0,Matches
Andreas Pereira,405,brBRA,MF,Fulham,29-113,1996,20.4,96,4.71,51,38,0,4,3,0,8,0.39,4,2,0,0,2,0,Matches
Andrew Robertson,432,sctSCO,DF,Liverpool,31-044,1994,24.6,73,2.96,61,9,1,1,0,1,3,0.12,3,0,0,0,0,0,Matches
André,26,brBRA,MF,Wolves,23-282,2001,23.2,42,1.81,34,3,1,0,0,4,3,0.13,2,1,0,0,0,0,Matches
André Onana,391,cmCMR,GK,Manchester Utd,29-022,1996,32.0,4,0.12,3,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Andrés García,192,esESP,"DF,MF",Aston Villa,22-076,2003,3.5,3,0.85,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Andy Irving,247,sctSCO,MF,West Ham,24-346,2000,1.8,5,2.68,4,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Anthony Elanga,159,seSWE,FW,Nott'ham Forest,22-362,2002,22.8,82,3.60,48,17,5,4,8,0,14,0.61,10,2,1,0,1,0,Matches
Anthony Gordon,206,engENG,FW,Newcastle Utd,24-059,2001,24.2,96,3.97,69,10,7,3,7,0,12,0.50,9,1,1,0,1,0,Matches
Antoine Semenyo,460,ghGHA,FW,Bournemouth,25-107,2000,31.4,121,3.86,78,3,19,14,5,2,12,0.38,7,0,2,1,2,0,Matches
Antonee Robinson,433,usUSA,DF,Fulham,27-259,1997,32.2,74,2.30,69,1,1,2,0,1,11,0.34,11,0,0,0,0,0,Matches
Antony,28,brBRA,"DF,MF",Manchester Utd,25-059,2000,1.6,8,5.11,6,0,1,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Antonín Kinský,281,czCZE,GK,Tottenham,22-042,2003,4.0,1,0.25,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Archie Gray,208,engENG,"DF,MF",Tottenham,19-043,2006,15.0,5,0.33,4,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Arijanet Muric,364,xkKVX,GK,Ipswich Town,26-168,1998,18.0,1,0.06,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Armando Broja,70,alALB,FW,Everton,23-226,2001,3.7,7,1.89,7,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Armel Bella Kotchap,50,deGER,DF,Southampton,23-134,2001,3.7,2,0.54,1,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
Asher Agbinone,7,engENG,MF,Crystal Palace,19-208,2005,0.1,1,15.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Ashley Young,563,engENG,"DF,FW",Everton,39-289,1985,17.6,36,2.04,27,6,0,1,1,1,6,0.34,4,0,0,1,0,1,Matches
Axel Disasi,136,frFRA,DF,Aston Villa,27-044,1998,5.4,9,1.65,7,0,1,0,0,1,0,0.00,0,0,0,0,0,0,Matches
Axel Tuanzebe,519,cdCOD,DF,Ipswich Town,27-161,1997,16.1,11,0.68,9,1,0,0,1,0,2,0.12,2,0,0,0,0,0,Matches
Ayden Heaven,228,engENG,DF,Manchester Utd,18-214,2006,1.1,2,1.89,0,0,1,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Bart Verbruggen,529,nlNED,GK,Brighton,22-249,2002,31.0,5,0.16,5,0,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches
Ben Brereton,68,clCHI,FW,Southampton,26-006,1999,5.0,9,1.80,7,0,0,0,2,0,0,0.00,0,0,0,0,0,0,Matches
Ben Chilwell,96,engENG,DF,Crystal Palace,28-124,1996,1.5,3,1.93,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Ben Davies,122,wlsWAL,DF,Tottenham,32-000,1993,10.5,8,0.76,7,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
Ben Godfrey,198,engENG,DF,Ipswich Town,27-099,1998,1.2,1,0.83,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Ben Johnson,261,engENG,"DF,FW",Ipswich Town,25-090,2000,14.6,23,1.58,11,9,0,1,2,0,5,0.34,4,0,0,1,0,0,Matches
