Player,Rk,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp_2,Att_2,Cmp%_2,Cmp_3,Att_3,Cmp%_3,Cmp_4,Att_4,Cmp%_4,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Aaron Cresswell,112,engENG,DF,West Ham,35-130,1989,6.5,355,440,80.7,6769,2697,157,173,90.8,152,177,85.9,45,82,54.9,0,1.1,1.2,-1.1,7,40,4,1,24,Matches
Aaron Ramsdale,418,engENG,GK,Southampton,26-345,1998,25.0,675,1033,65.3,18762,14526,192,193,99.5,256,267,95.9,221,560,39.5,0,0.0,0.1,0.0,0,32,1,0,0,Matches
Aaron Wan-Bissaka,536,engENG,DF,West Ham,27-149,1997,30.0,1234,1525,80.9,17639,6513,786,876,89.7,384,468,82.1,46,96,47.9,2,2.7,2.4,-0.7,27,85,27,11,118,Matches
Abdoulaye Doucouré,145,mlMLI,MF,Everton,32-113,1993,25.9,657,823,79.8,9948,2071,344,405,84.9,242,291,83.2,40,54,74.1,1,2.3,1.2,-1.3,26,43,14,0,74,Matches
Abdukodir Khusanov,278,uzUZB,DF,Manchester City,21-054,2004,5.6,360,395,91.1,6126,1976,160,169,94.7,191,197,97.0,6,23,26.1,0,0.1,0.1,-0.1,2,23,0,0,25,Matches
Abdul Fatawu Issahaku,174,ghGHA,FW,Leicester City,21-047,2004,6.4,123,197,62.4,2150,601,59,81,72.8,45,59,76.3,16,33,48.5,2,1.6,1.4,+0.4,6,7,7,2,17,Matches
Adam Armstrong,33,engENG,"FW,MF",Southampton,28-073,1997,13.9,231,288,80.2,3320,446,138,158,87.3,81,95,85.3,6,13,46.2,2,1.2,0.6,+0.8,9,10,8,2,21,Matches
Adam Lallana,292,engENG,MF,Southampton,36-349,1988,4.0,221,260,85.0,2891,980,147,165,89.1,61,67,91.0,4,9,44.4,2,0.9,0.5,+1.1,4,21,9,3,24,Matches
Adam Smith,472,engENG,DF,Bournemouth,33-360,1991,14.7,415,548,75.7,6761,2196,200,228,87.7,178,226,78.8,24,68,35.3,0,0.2,0.2,-0.2,6,39,6,3,39,Matches
Adam Webster,542,engENG,DF,Brighton,30-110,1995,6.9,429,501,85.6,7934,3140,169,177,95.5,213,232,91.8,40,79,50.6,0,0.5,0.2,-0.5,3,32,2,0,40,Matches
Adam Wharton,546,engENG,MF,Crystal Palace,20-326,2004,14.0,521,689,75.6,9826,3632,197,240,82.1,249,309,80.6,67,103,65.0,2,3.0,2.1,-1.0,25,73,18,5,105,Matches
Adama Traoré,512,esESP,"FW,MF",Fulham,29-089,1996,16.9,368,513,71.7,5733,1419,204,251,81.3,124,170,72.9,25,46,54.3,5,4.1,3.9,+0.9,33,32,27,14,57,Matches
Albert Grønbaek,212,dkDEN,"FW,MF",Southampton,23-336,2001,1.6,13,18,72.2,135,43,9,11,81.8,2,4,50.0,0,0,N/a,0,0.0,0.0,0.0,1,2,0,0,1,Matches
Alejandro Garnacho,193,arARG,"MF,FW",Manchester Utd,20-297,2004,21.8,579,730,79.3,8106,1035,365,408,89.5,160,193,82.9,26,46,56.5,1,3.5,2.3,-2.5,29,19,21,3,50,Matches
Alex Iwobi,249,ngNGA,"FW,MF",Fulham,28-356,1996,29.3,995,1336,74.5,17083,5031,501,584,85.8,388,500,77.6,88,162,54.3,5,6.4,6.3,-1.4,52,100,74,15,185,Matches
Alex McCarthy,336,engENG,GK,Southampton,35-142,1989,5.0,117,156,75.0,2823,1985,41,43,95.3,45,49,91.8,30,61,49.2,0,0.0,0.0,0.0,0,5,0,0,0,Matches
Alex Palmer,399,engENG,GK,Ipswich Town,28-257,1996,9.0,191,278,68.7,5649,4148,40,42,95.2,83,83,100.0,68,153,44.4,0,0.0,0.0,0.0,1,3,0,0,1,Matches
Alex Scott,457,engENG,MF,Bournemouth,21-246,2003,6.8,233,277,84.1,3775,1167,117,131,89.3,94,103,91.3,16,26,61.5,0,0.8,0.8,-0.8,9,35,4,0,48,Matches
Alexander Isak,248,seSWE,FW,Newcastle Utd,25-215,1999,26.8,441,599,73.6,6305,1440,259,314,82.5,137,177,77.4,22,35,62.9,6,4.0,3.4,+2.0,38,32,23,1,74,Matches
Alexis Mac Allister,312,arARG,MF,Liverpool,26-121,1998,27.5,1210,1451,83.4,19378,5475,624,694,89.9,472,534,88.4,84,150,56.0,4,4.4,4.9,-0.4,41,116,34,2,169,Matches
Alfie Dorrington,144,engENG,DF,Tottenham,20-004,2005,0.2,15,16,93.8,304,39,6,7,85.7,7,7,100.0,2,2,100.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Alfie Pond,413,engENG,DF,Wolves,21-054,2004,0.0,1,1,100.0,23,0,0,0,N/a,1,1,100.0,0,0,N/a,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Ali Al Hamadi,223,iqIRQ,FW,Ipswich Town,23-054,2002,1.5,25,30,83.3,278,29,20,23,87.0,5,7,71.4,0,0,N/a,0,0.1,0.0,-0.1,2,0,0,0,3,Matches
Alisson,16,brBRA,GK,Liverpool,32-204,1992,22.9,590,716,82.4,13140,8631,178,180,98.9,309,314,98.4,102,218,46.8,0,0.6,0.2,-0.6,1,10,0,0,0,Matches
Alphonse Areola,31,frFRA,GK,West Ham,32-056,1993,21.1,583,833,70.0,15548,10598,125,126,99.2,283,298,95.0,172,399,43.1,0,0.0,0.0,0.0,0,7,0,0,0,Matches
Altay Bayındır,48,trTUR,GK,Manchester Utd,27-010,1998,1.0,32,61,52.5,942,540,2,2,100.0,17,20,85.0,13,39,33.3,0,0.0,0.0,0.0,0,1,0,0,0,Matches
Amad Diallo,130,ciCIV,"FW,MF",Manchester Utd,22-287,2002,17.7,658,794,82.9,9051,1880,407,450,90.4,185,217,85.3,33,63,52.4,6,3.9,3.6,+2.1,39,25,29,5,53,Matches
Amadou Onana,390,beBEL,MF,Aston Villa,23-251,2001,15.0,589,666,88.4,9251,2316,301,319,94.4,250,278,89.9,25,35,71.4,0,0.3,0.5,-0.3,7,52,8,1,58,Matches
Andreas Pereira,405,brBRA,MF,Fulham,29-113,1996,20.4,624,905,69.0,11362,3622,288,345,83.5,239,306,78.1,84,202,41.6,4,4.3,4.2,-0.3,54,64,19,4,98,Matches
Andrew Robertson,432,sctSCO,DF,Liverpool,31-044,1994,24.6,1405,1688,83.2,23582,7509,689,730,94.4,600,690,87.0,99,212,46.7,0,4.1,3.9,-4.1,38,139,27,15,163,Matches
André,26,brBRA,MF,Wolves,23-282,2001,23.2,1026,1106,92.8,16152,4546,522,548,95.3,403,423,95.3,61,77,79.2,0,0.7,0.5,-0.7,13,95,4,0,90,Matches
André Onana,391,cmCMR,GK,Manchester Utd,29-022,1996,32.0,892,1222,73.0,21204,12788,211,213,99.1,495,500,99.0,181,500,36.2,0,0.2,0.2,-0.2,1,23,0,0,1,Matches
Andrés García,192,esESP,"DF,MF",Aston Villa,22-076,2003,3.5,174,201,86.6,2725,577,89,96,92.7,74,82,90.2,7,13,53.8,0,0.2,0.4,-0.2,3,9,8,5,15,Matches
