Player,Rk,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Aaron Cresswell,112,engENG,DF,West Ham,35-130,1989,6.5,0,3,0,0.0,0.46,0.00,0.00,N/a,29.8,2,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Aaron Ramsdale,418,engENG,GK,Southampton,26-345,1998,25.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Aaron Wan-Bissaka,536,engENG,DF,West Ham,27-149,1997,30.0,2,13,4,30.8,0.43,0.13,0.15,0.50,15.5,0,0,0,1.0,1.0,0.08,+1.0,+1.0,Matches
Abdoulaye Doucouré,145,mlMLI,MF,Everton,32-113,1993,25.9,3,28,9,32.1,1.08,0.35,0.11,0.33,13.9,0,0,0,3.7,3.7,0.13,-0.7,-0.7,Matches
Abdukodir Khusanov,278,uzUZB,DF,Manchester City,21-054,2004,5.6,0,1,0,0.0,0.18,0.00,0.00,N/a,23.9,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Abdul Fatawu Issahaku,174,ghGHA,FW,Leicester City,21-047,2004,6.4,0,13,5,38.5,2.02,0.78,0.00,0.00,31.2,0,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches
Adam Armstrong,33,engENG,"FW,MF",Southampton,28-073,1997,13.9,2,25,7,28.0,1.80,0.50,0.08,0.29,16.6,0,0,1,3.3,2.3,0.09,-1.3,-0.3,Matches
Adam Lallana,292,engENG,MF,Southampton,36-349,1988,4.0,0,3,0,0.0,0.75,0.00,0.00,N/a,18.1,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
Adam Smith,472,engENG,DF,Bournemouth,33-360,1991,14.7,0,3,0,0.0,0.20,0.00,0.00,N/a,16.9,0,0,0,0.7,0.7,0.22,-0.7,-0.7,Matches
Adam Webster,542,engENG,DF,Brighton,30-110,1995,6.9,0,1,1,100.0,0.15,0.15,0.00,0.00,15.3,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Adam Wharton,546,engENG,MF,Crystal Palace,20-326,2004,14.0,0,12,5,41.7,0.86,0.36,0.00,0.00,25.8,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
Adama Traoré,512,esESP,"FW,MF",Fulham,29-089,1996,16.9,2,35,11,31.4,2.07,0.65,0.06,0.18,14.3,0,0,0,3.8,3.8,0.11,-1.8,-1.8,Matches
Albert Grønbaek,212,dkDEN,"FW,MF",Southampton,23-336,2001,1.6,0,2,0,0.0,1.26,0.00,0.00,N/a,22.4,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
Alejandro Garnacho,193,arARG,"MF,FW",Manchester Utd,20-297,2004,21.8,5,73,27,37.0,3.34,1.24,0.07,0.19,16.9,0,0,0,6.2,6.2,0.08,-1.2,-1.2,Matches
Alex Iwobi,249,ngNGA,"FW,MF",Fulham,28-356,1996,29.3,9,60,27,45.0,2.05,0.92,0.15,0.33,18.5,0,0,0,4.3,4.3,0.07,+4.7,+4.7,Matches
Alex McCarthy,336,engENG,GK,Southampton,35-142,1989,5.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Alex Palmer,399,engENG,GK,Ipswich Town,28-257,1996,9.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Alex Scott,457,engENG,MF,Bournemouth,21-246,2003,6.8,0,13,5,38.5,1.91,0.74,0.00,0.00,20.0,0,0,0,0.7,0.7,0.05,-0.7,-0.7,Matches
Alexander Isak,248,seSWE,FW,Newcastle Utd,25-215,1999,26.8,21,82,37,45.1,3.06,1.38,0.23,0.51,14.4,3,2,2,17.5,16.0,0.20,+3.5,+3.0,Matches
Alexis Mac Allister,312,arARG,MF,Liverpool,26-121,1998,27.5,4,35,12,34.3,1.27,0.44,0.11,0.33,18.2,1,0,0,2.7,2.7,0.08,+1.3,+1.3,Matches
Alfie Dorrington,144,engENG,DF,Tottenham,20-004,2005,0.2,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Alfie Pond,413,engENG,DF,Wolves,21-054,2004,0.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Ali Al Hamadi,223,iqIRQ,FW,Ipswich Town,23-054,2002,1.5,0,4,0,0.0,2.69,0.00,0.00,N/a,15.7,0,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches
Alisson,16,brBRA,GK,Liverpool,32-204,1992,22.9,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Alphonse Areola,31,frFRA,GK,West Ham,32-056,1993,21.1,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Altay Bayındır,48,trTUR,GK,Manchester Utd,27-010,1998,1.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Amad Diallo,130,ciCIV,"FW,MF",Manchester Utd,22-287,2002,17.7,6,40,13,32.5,2.26,0.73,0.15,0.46,17.7,0,0,0,4.1,4.1,0.10,+1.9,+1.9,Matches
Amadou Onana,390,beBEL,MF,Aston Villa,23-251,2001,15.0,3,17,6,35.3,1.14,0.40,0.18,0.50,14.7,0,0,0,2.1,2.1,0.12,+0.9,+0.9,Matches
Andreas Pereira,405,brBRA,MF,Fulham,29-113,1996,20.4,2,34,8,23.5,1.67,0.39,0.06,0.25,22.1,6,0,1,3.4,2.6,0.08,-1.4,-0.6,Matches
Andrew Robertson,432,sctSCO,DF,Liverpool,31-044,1994,24.6,0,12,2,16.7,0.49,0.08,0.00,0.00,15.0,0,0,0,0.9,0.9,0.08,-0.9,-0.9,Matches
André,26,brBRA,MF,Wolves,23-282,2001,23.2,0,7,1,14.3,0.30,0.04,0.00,0.00,22.5,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
André Onana,391,cmCMR,GK,Manchester Utd,29-022,1996,32.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Andrés García,192,esESP,"DF,MF",Aston Villa,22-076,2003,3.5,0,2,0,0.0,0.57,0.00,0.00,N/a,26.6,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Andy Irving,247,sctSCO,MF,West Ham,24-346,2000,1.8,0,4,2,50.0,2.17,1.08,0.00,0.00,26.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Anthony Elanga,159,seSWE,FW,Nott'ham Forest,22-362,2002,22.8,6,35,16,45.7,1.54,0.70,0.17,0.38,16.8,4,0,0,3.9,3.9,0.11,+2.1,+2.1,Matches
Anthony Gordon,206,engENG,FW,Newcastle Utd,24-059,2001,24.2,6,53,15,28.3,2.19,0.62,0.09,0.33,16.3,1,1,2,7.9,6.3,0.12,-1.9,-1.3,Matches
Antoine Semenyo,460,ghGHA,FW,Bournemouth,25-107,2000,31.4,8,116,36,31.0,3.70,1.15,0.07,0.22,17.2,0,0,0,9.1,9.1,0.08,-1.1,-1.1,Matches
Antonee Robinson,433,usUSA,DF,Fulham,27-259,1997,32.2,0,16,2,12.5,0.50,0.06,0.00,0.00,22.1,0,0,0,0.7,0.7,0.04,-0.7,-0.7,Matches
Antony,28,brBRA,"DF,MF",Manchester Utd,25-059,2000,1.6,0,6,3,50.0,3.83,1.91,0.00,0.00,15.8,0,0,0,1.0,1.0,0.17,-1.0,-1.0,Matches
