Player,Rk,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_2,Ast_2,G+A_2,G-PK_2,G+A-PK,xG_2,xAG_2,xG+xAG,npxG_2,npxG+xAG_2,Matches
Aaron Cresswell,112,engENG,DF,West Ham,35-130,1989,14,7,589,6.5,0,0,0,0,0,0,2,0,0.1,0.1,1.1,1.3,4,24,2,0.00,0.00,0.00,0.00,0.00,0.02,0.17,0.19,0.02,0.19,Matches
Aaron Ramsdale,418,engENG,GK,Southampton,26-345,1998,25,25,"2,250",25.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Aaron Wan-Bissaka,536,engENG,DF,West Ham,27-149,1997,31,30,"2,704",30.0,2,2,4,2,0,0,1,0,1.0,1.0,2.7,3.7,93,118,131,0.07,0.07,0.13,0.07,0.13,0.03,0.09,0.12,0.03,0.12,Matches
Abdoulaye Doucouré,145,mlMLI,MF,Everton,32-113,1993,29,28,"2,335",25.9,3,1,4,3,0,0,5,1,3.7,3.7,2.3,6.0,38,74,88,0.12,0.04,0.15,0.12,0.15,0.14,0.09,0.23,0.14,0.23,Matches
Abdukodir Khusanov,278,uzUZB,DF,Manchester City,21-054,2004,6,6,503,5.6,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,1,25,2,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
Abdul Fatawu Issahaku,174,ghGHA,FW,Leicester City,21-047,2004,11,6,579,6.4,0,2,2,0,0,0,0,0,0.4,0.4,1.6,2.0,42,17,60,0.00,0.31,0.31,0.00,0.31,0.06,0.24,0.31,0.06,0.31,Matches
Adam Armstrong,33,engENG,"FW,MF",Southampton,28-073,1997,20,15,"1,248",13.9,2,2,4,2,0,1,4,0,3.3,2.3,1.2,3.5,25,21,79,0.14,0.14,0.29,0.14,0.29,0.24,0.09,0.32,0.17,0.25,Matches
Adam Lallana,292,engENG,MF,Southampton,36-349,1988,14,5,361,4.0,0,2,2,0,0,0,4,0,0.2,0.2,0.9,1.1,6,24,10,0.00,0.50,0.50,0.00,0.50,0.04,0.23,0.27,0.04,0.27,Matches
Adam Smith,472,engENG,DF,Bournemouth,33-360,1991,21,16,"1,319",14.7,0,0,0,0,0,0,5,0,0.7,0.7,0.2,0.9,12,39,31,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.06,Matches
Adam Webster,542,engENG,DF,Brighton,30-110,1995,11,8,617,6.9,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,7,40,2,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.08,0.00,0.08,Matches
Adam Wharton,546,engENG,MF,Crystal Palace,20-326,2004,19,15,"1,258",14.0,0,2,2,0,0,0,2,0,0.3,0.3,3.0,3.3,14,105,10,0.00,0.14,0.14,0.00,0.14,0.02,0.21,0.24,0.02,0.24,Matches
Adama Traoré,512,esESP,"FW,MF",Fulham,29-089,1996,31,16,"1,523",16.9,2,5,7,2,0,0,2,0,3.8,3.8,4.1,7.9,81,57,139,0.12,0.30,0.41,0.12,0.41,0.22,0.24,0.47,0.22,0.47,Matches
Albert Grønbaek,212,dkDEN,"FW,MF",Southampton,23-336,2001,4,2,143,1.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,1,3,0.00,0.00,0.00,0.00,0.00,0.07,0.01,0.08,0.07,0.08,Matches
Alejandro Garnacho,193,arARG,"MF,FW",Manchester Utd,20-297,2004,32,21,"1,966",21.8,5,1,6,5,0,0,2,0,6.2,6.2,3.5,9.7,130,50,260,0.23,0.05,0.27,0.23,0.27,0.28,0.16,0.44,0.28,0.44,Matches
Alex Iwobi,249,ngNGA,"FW,MF",Fulham,28-356,1996,33,31,"2,636",29.3,9,5,14,9,0,0,1,0,4.3,4.3,6.4,10.6,128,185,214,0.31,0.17,0.48,0.31,0.48,0.15,0.22,0.36,0.15,0.36,Matches
Alex McCarthy,336,engENG,GK,Southampton,35-142,1989,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Alex Palmer,399,engENG,GK,Ipswich Town,28-257,1996,9,9,810,9.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Alex Scott,457,engENG,MF,Bournemouth,21-246,2003,16,6,612,6.8,0,0,0,0,0,0,2,0,0.7,0.7,0.8,1.5,12,48,31,0.00,0.00,0.00,0.00,0.00,0.10,0.12,0.21,0.10,0.21,Matches
Alexander Isak,248,seSWE,FW,Newcastle Utd,25-215,1999,30,30,"2,411",26.8,21,6,27,19,2,2,1,0,17.5,16.0,4.0,20.0,76,74,192,0.78,0.22,1.01,0.71,0.93,0.66,0.15,0.81,0.60,0.75,Matches
Alexis Mac Allister,312,arARG,MF,Liverpool,26-121,1998,32,29,"2,471",27.5,4,4,8,4,0,0,6,0,2.7,2.7,4.4,7.0,32,169,75,0.15,0.15,0.29,0.15,0.29,0.10,0.16,0.26,0.10,0.26,Matches
Alfie Dorrington,144,engENG,DF,Tottenham,20-004,2005,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Alfie Pond,413,engENG,DF,Wolves,21-054,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Ali Al Hamadi,223,iqIRQ,FW,Ipswich Town,23-054,2002,11,0,134,1.5,0,0,0,0,0,0,3,0,0.4,0.4,0.1,0.4,4,3,14,0.00,0.00,0.00,0.00,0.00,0.24,0.05,0.28,0.24,0.28,Matches
Alisson,16,brBRA,GK,Liverpool,32-204,1992,23,23,"2,058",22.9,0,0,0,0,0,0,0,0,0.0,0.0,0.6,0.6,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches
