Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Matches
112,Aaron Cresswell,engENG,DF,West Ham,35-127,1989,14,7,589.0,6.5,0,0,0,0,0,0,2,0,0.1,0.1,1.1,1.3,4,24,2,0.00,0.00,0.00,0.00,0.00,0.02,0.17,0.19,0.02,0.19,Matches
418,Aaron Ramsdale,engENG,GK,Southampton,26-342,1998,25,25,2250.0,25.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
536,Aaron Wan-Bissaka,engENG,DF,West Ham,27-146,1997,31,30,2704.0,30.0,2,2,4,2,0,0,1,0,1.0,1.0,2.7,3.7,93,118,131,0.07,0.07,0.13,0.07,0.13,0.03,0.09,0.12,0.03,0.12,Matches
145,Abdoulaye Doucouré,mlMLI,MF,Everton,32-110,1993,29,28,2335.0,25.9,3,1,4,3,0,0,5,1,3.7,3.7,2.3,6.0,38,74,88,0.12,0.04,0.15,0.12,0.15,0.14,0.09,0.23,0.14,0.23,Matches
278,Abdukodir Khusanov,uzUZB,DF,Manchester City,21-051,2004,6,6,503.0,5.6,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,1,25,2,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
174,Abdul Fatawu Issahaku,ghGHA,FW,Leicester City,21-044,2004,11,6,579.0,6.4,0,2,2,0,0,0,0,0,0.4,0.4,1.6,2.0,42,17,60,0.00,0.31,0.31,0.00,0.31,0.06,0.24,0.31,0.06,0.31,Matches
33,Adam Armstrong,engENG,"FW,MF",Southampton,28-070,1997,20,15,1248.0,13.9,2,2,4,2,0,1,4,0,3.3,2.3,1.2,3.5,25,21,79,0.14,0.14,0.29,0.14,0.29,0.24,0.09,0.32,0.17,0.25,Matches
292,Adam Lallana,engENG,MF,Southampton,36-346,1988,14,5,361.0,4.0,0,2,2,0,0,0,4,0,0.2,0.2,0.9,1.1,6,24,10,0.00,0.50,0.50,0.00,0.50,0.04,0.23,0.27,0.04,0.27,Matches
472,Adam Smith,engENG,DF,Bournemouth,33-357,1991,21,16,1319.0,14.7,0,0,0,0,0,0,5,0,0.7,0.7,0.2,0.9,12,39,31,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.06,Matches
542,Adam Webster,engENG,DF,Brighton,30-107,1995,11,8,617.0,6.9,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,7,40,2,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.08,0.00,0.08,Matches
546,Adam Wharton,engENG,MF,Crystal Palace,20-323,2004,18,14,1196.0,13.3,0,1,1,0,0,0,2,0,0.3,0.3,2.8,3.1,14,103,10,0.00,0.08,0.08,0.00,0.08,0.02,0.21,0.23,0.02,0.23,Matches
512,Adama Traoré,esESP,"FW,MF",Fulham,29-086,1996,31,16,1523.0,16.9,2,5,7,2,0,0,2,0,3.8,3.8,4.1,7.9,81,57,139,0.12,0.30,0.41,0.12,0.41,0.22,0.24,0.47,0.22,0.47,Matches
212,Albert Grønbaek,dkDEN,"FW,MF",Southampton,23-333,2001,4,2,143.0,1.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,1,3,0.00,0.00,0.00,0.00,0.00,0.07,0.01,0.08,0.07,0.08,Matches
